ranking,producto,rubro,facturacion,acumulado_pct
98,Tostada Pan Integral con Palta,Panadería y dulces,17000,90.5
99,Naranjitas confitadas con chocolate x 6,Panadería y dulces,16800,90.8
100,Panini Lomo,Sándwiches,16800,91.1
101,Ensalada de Frutas,Hora dulce,16000,91.4
102,Licuado con leche o Jugo Naranja,Bebidas,15600,91.7
103,Arco Iris,Ensaladas,15400,91.9
104,Armá tu ensalada,Ensaladas,15300,92.2
105,Casual,Desayuno y merienda,15200,92.5
106,Omelette Especial,Entradas,14500,92.7
107,Tortilla de papa,Entradas,14500,93.0
108,Omelette de Zanahoria y Queso,Entradas,14500,93.2
109,Uxmal Moscatel de Alejandría,Vinos y cervezas,14000,93.5
110,Estiba I Rosé,Vinos y cervezas,13500,93.7
111,Frizze de Naranja y Fresa,Cafetería,13200,93.9
112,Coca-Cola Zero,Bebidas,12600,94.1
113,Alfajores de Coco (con Dulce de leche),Panadería y dulces,12400,94.4
114,Tostadas Pan Sin Gluten c/ Dulce de Leche,Panadería y dulces,12400,94.6
115,Budín: Naranja y Amapola,Panadería y dulces,11600,94.8
116,Tostadas de Multicereal c/ Manteca y Dulce,Panadería y dulces,11600,95.0
117,Empanada de Carne Picante,Empanadas,11400,95.2
118,Cookie: Avena y Almendras,Panadería y dulces,11200,95.4
119,"Cookie: Manzana, Canela y Almendras",Panadería y dulces,11200,95.6
120,Alfajor de Dulce de Leche,Panadería y dulces,11200,95.8
121,Jugo de Naranja,Bebidas,10800,96.0
122,Crema Bávara de Sambayón,Hora dulce,10700,96.2
123,Submarino,Cafetería,10600,96.3
124,Papa Puré,Entradas,10500,96.5
125,"Brownie, Dulce de Leche y Merengue",Tortas,9000,96.7
126,Carrot Cake y Cream Cheese,Tortas,8800,96.8
127,Nutella,Tortas,8800,97.0
128,"Florentino (Frutos Secos, Cerezas y otras Frutas)",Panadería y dulces,8700,97.1
129,Lemon Pie,Tortas,8600,97.3
130,Infusión (Té),Cafetería,8600,97.4
131,Agua Mineral Con Gas,Bebidas,8400,97.6
132,Agua Mineral Sin Gas (Villavicencio),Bebidas,8400,97.7
133,Fanta Naranja,Bebidas,8400,97.9
134,Flan casero,Recomendados,8200,98.0
135,Leche,Cafetería,7000,98.1
136,Le France,Cafetería,6600,98.3
137,Calypso,Cafetería,6600,98.4
138,Peach Ice Tea,Cafetería,6600,98.5
139,Irish Coffee,Cafetería,6600,98.6
140,Frescolate Coffee,Cafetería,6600,98.7
141,Vainilla Coffee Ice,Cafetería,6600,98.8
142,Caldo de Huesos,Entradas,6200,98.9
143,Ricotta,Tortas,6100,99.0
144,Naranjitas confitadas con chocolate x 12,Panadería y dulces,6000,99.2
145,Budín: Limón,Panadería y dulces,5800,99.3
146,Cookie: Chocolate,Panadería y dulces,5600,99.4
147,Scons,Panadería y dulces,5600,99.5
148,Coquito,Panadería y dulces,5500,99.5
149,Jugo Natural Chico Naranja / Limón,Bebidas,5400,99.6
150,Café con leche,Cafetería,4600,99.7
151,Capuchino a la Italiana,Cafetería,4600,99.8
152,Sprite Zero,Bebidas,4200,99.9
153,Café con crema,Cafetería,3800,99.9
154,Fainá (porción),Entradas,3300,100.0
